compiler, flags, L, metric
clang, -O0, 512, 2289.190557
clang, -O1, 512, 3093.470052
clang, -O2, 512, 3134.789433
clang, -O3, 512, 3142.034369
clang, -Ofast, 512, 3142.439654
gcc, -O0, 512, 2313.966476
gcc, -O1, 512, 3032.599398
gcc, -O2, 512, 3076.111694
gcc, -O3, 512, 3011.363796
gcc, -Ofast, 512, 3001.500910
