Temp,E,E^2,E^4,M,M^2,M^4
4.740000,-0.3428192139,0.1234398433,0.0177691301,0.3030776978,0.1125001848,0.0188444446
4.750000,-0.3409698486,0.1220851541,0.0173716557,0.3033447266,0.1122790435,0.0187039113
4.760000,-0.3388061523,0.1205115294,0.0169162890,0.3035415649,0.1119002674,0.0184932099
4.770000,-0.3361297607,0.1185778691,0.0163646437,0.3035995483,0.1114551991,0.0182660273
4.780000,-0.3342559814,0.1172218882,0.0159793602,0.3036102295,0.1110990579,0.0180884757
4.790000,-0.3323669434,0.1158856873,0.0156119589,0.3037200928,0.1108473568,0.0179501568
4.800000,-0.3302246094,0.1143795978,0.0152029950,0.3039276123,0.1105539326,0.0177784896
4.810000,-0.3280639648,0.1128637998,0.0147946369,0.3039489746,0.1101997076,0.0175999279
4.820000,-0.3263580322,0.1116526158,0.0144652854,0.3040496826,0.1099203581,0.0174481582
4.830000,-0.3246032715,0.1104675368,0.0141639375,0.3041839600,0.1097110878,0.0173265728
4.840000,-0.3227783203,0.1092017452,0.0138323130,0.3042510986,0.1094524277,0.0171889753
4.850000,-0.3208953857,0.1079029614,0.0134960381,0.3043487549,0.1091700880,0.0170353173
4.860000,-0.3190155029,0.1066247104,0.0131725010,0.3043350220,0.1088955300,0.0169002826
4.870000,-0.3175537109,0.1056253286,0.0129189576,0.3044784546,0.1086866698,0.0167766640
4.880000,-0.3160003662,0.1045437988,0.0126397869,0.3047714233,0.1084822587,0.0166343521
4.890000,-0.3140899658,0.1032751391,0.0123322523,0.3047958374,0.1081986010,0.0164889670
4.900000,-0.3117889404,0.1017560223,0.0119685960,0.3047576904,0.1078382128,0.0163138112
4.910000,-0.3108734131,0.1011273616,0.0118114066,0.3047637939,0.1076638659,0.0162256154
4.920000,-0.3086944580,0.0996979403,0.0114748088,0.3046676636,0.1072864878,0.0160501670
4.930000,-0.3073699951,0.0988180482,0.0112653174,0.3047683716,0.1071034704,0.0159440752
4.940000,-0.3058044434,0.0977672861,0.0110131743,0.3048538208,0.1068624817,0.0158108753
4.950000,-0.3044281006,0.0968398032,0.0107906645,0.3050781250,0.1067415810,0.0157175627
4.960000,-0.3034545898,0.0961715199,0.0106276167,0.3050872803,0.1065544138,0.0156220667
4.970000,-0.3019226074,0.0951752555,0.0104005260,0.3051437378,0.1063532907,0.0155125210
4.980000,-0.2998291016,0.0938397147,0.0101048764,0.3052032471,0.1060814817,0.0153667544
4.990000,-0.2978851318,0.0925861752,0.0098251896,0.3053863525,0.1058876620,0.0152415469
5.000000,-0.2964538574,0.0916780473,0.0096276135,0.3054763794,0.1057318651,0.0151492351
