compiler,flags,L,metric
clang, -O0, 512, 3353.574824
clang, -O1, 512, 5158.060750
clang, -O2, 512, 5293.713045
clang, -O3, 512, 5178.270974
clang, -Ofast, 512, 5242.774759
gcc, -O0, 512, 3221.313699
gcc, -O1, 512, 5243.145041
gcc, -O2, 512, 5222.238259
gcc, -O3, 512, 5215.398501
gcc, -Ofast, 512, 5339.404798
